review_text,rating,review_date,bank,source,app_package
best bank in ethiopia,5,2025-07-29,BOA,Google Play,com.boa.boaMobileBanking
waqayyoo,5,2025-07-28,BOA,Google Play,com.boa.boaMobileBanking
please is not working,2,2025-07-27,BOA,Google Play,com.boa.boaMobileBanking
nothing when I need to install the Apk it say that re-up date,5,2025-07-25,BOA,Google Play,com.boa.boaMobileBanking
I can log in from any where,5,2025-07-23,BOA,Google Play,com.boa.boaMobileBanking
😇,3,2025-07-20,BOA,Google Play,com.boa.boaMobileBanking
no proplem,5,2025-07-20,BOA,Google Play,com.boa.boaMobileBanking
👍👍👍,5,2025-07-19,BOA,Google Play,com.boa.boaMobileBanking
excellent app,5,2025-07-18,BOA,Google Play,com.boa.boaMobileBanking
good work,5,2025-07-15,BOA,Google Play,com.boa.boaMobileBanking
☹️,5,2025-07-15,BOA,Google Play,com.boa.boaMobileBanking
excellent,5,2025-07-14,BOA,Google Play,com.boa.boaMobileBanking
Great BoA,5,2025-07-14,BOA,Google Play,com.boa.boaMobileBanking
Good,5,2025-07-14,BOA,Google Play,com.boa.boaMobileBanking
Okay,4,2025-07-13,BOA,Google Play,com.boa.boaMobileBanking
not working,1,2025-07-12,BOA,Google Play,com.boa.boaMobileBanking
This App is Getting worse and worse with every update,2,2025-07-11,BOA,Google Play,com.boa.boaMobileBanking
ምርጥ ነው,1,2025-07-10,BOA,Google Play,com.boa.boaMobileBanking
nice,5,2025-07-10,BOA,Google Play,com.boa.boaMobileBanking
meku,5,2025-07-07,BOA,Google Play,com.boa.boaMobileBanking
awasome app go a head,5,2025-07-04,BOA,Google Play,com.boa.boaMobileBanking
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,BOA,Google Play,com.boa.boaMobileBanking
"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",3,2025-07-02,BOA,Google Play,com.boa.boaMobileBanking
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01,BOA,Google Play,com.boa.boaMobileBanking
wow,5,2025-07-01,BOA,Google Play,com.boa.boaMobileBanking
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,BOA,Google Play,com.boa.boaMobileBanking
amazing Banks App👌👌,3,2025-06-25,BOA,Google Play,com.boa.boaMobileBanking
good App fore me,5,2025-06-25,BOA,Google Play,com.boa.boaMobileBanking
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,2025-06-24,BOA,Google Play,com.boa.boaMobileBanking
fantastic,5,2025-06-22,BOA,Google Play,com.boa.boaMobileBanking
👍,4,2025-06-21,BOA,Google Play,com.boa.boaMobileBanking
it's nice to use.,5,2025-06-21,BOA,Google Play,com.boa.boaMobileBanking
app doesn't start,1,2025-06-21,BOA,Google Play,com.boa.boaMobileBanking
Excellent application,5,2025-06-18,BOA,Google Play,com.boa.boaMobileBanking
its very bad app its very slow,1,2025-06-17,BOA,Google Play,com.boa.boaMobileBanking
ብዙዬ ሺዋየ በለጠ,1,2025-06-15,BOA,Google Play,com.boa.boaMobileBanking
Good job!,5,2025-06-13,BOA,Google Play,com.boa.boaMobileBanking
best financial app.,5,2025-06-12,BOA,Google Play,com.boa.boaMobileBanking
ቆንጆ ነው በርቱ,5,2025-06-11,BOA,Google Play,com.boa.boaMobileBanking
the worst app humans ever created,1,2025-06-09,BOA,Google Play,com.boa.boaMobileBanking
it's not working,3,2025-06-05,BOA,Google Play,com.boa.boaMobileBanking
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,BOA,Google Play,com.boa.boaMobileBanking
exceptional,5,2025-06-03,BOA,Google Play,com.boa.boaMobileBanking
BoA Mobile good bank,5,2025-06-02,BOA,Google Play,com.boa.boaMobileBanking
this is worest app 24/7 loading,1,2025-06-01,BOA,Google Play,com.boa.boaMobileBanking
BoA system is confartable,5,2025-05-31,BOA,Google Play,com.boa.boaMobileBanking
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,BOA,Google Play,com.boa.boaMobileBanking
Good service.,3,2025-05-25,BOA,Google Play,com.boa.boaMobileBanking
the app crush frequently,1,2025-05-24,BOA,Google Play,com.boa.boaMobileBanking
You guys keeps getting worst,1,2025-05-22,BOA,Google Play,com.boa.boaMobileBanking
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,BOA,Google Play,com.boa.boaMobileBanking
BoA,2,2025-05-20,BOA,Google Play,com.boa.boaMobileBanking
but not opening on android,4,2025-05-19,BOA,Google Play,com.boa.boaMobileBanking
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,BOA,Google Play,com.boa.boaMobileBanking
amazing,5,2025-05-18,BOA,Google Play,com.boa.boaMobileBanking
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,BOA,Google Play,com.boa.boaMobileBanking
